Date,Open,High,Low,Close,Adj Close,Volume,SMA_20,EMA_20,RSI_14,BB_Middle,BB_Upper,BB_Lower,EMA_12,EMA_26,MACD,MACD_Signal,High-Low,High-PrevClose,Low-PrevClose,ATR_14,%K,%D,Momentum,WMA_20,TRIX,VWAP,CCI,Bias,RVI,Williams %R,MFI_14,TR,DM+,DM-,#NAME?,#NAME?,DX,ADX_14,SMA_Smooth_20,USO,Volatility,DMI,SVI,Upper_Price_Channel,Lower_Price_Channel,TII,Keltner_Middle,Keltner_Upper,Keltner_Lower
2019/2/27,43.30250168,43.75,43.18249893,43.71749878,41.93504715,111341600,42.76712475,42.4157363,52.19202446,42.76712475,44.12354985,41.41069965,42.9795292,42.03721577,0.942313433,0.949827575,0.567501068,0.167499542,0.400001526,0.571250371,86.57717571,81.29756426,0.95249939,43.00765434,0.357544328,39.90502351,77.7539377,2.222206979,68.83220117,-13.42282429,55.62231869,0.567501068,0,0.11000061,24.53892157,22.31945845,4.736534047,44.14315733,42.76712475,0.159999847,0.432421908,74.76099925,0.445085647,43.96749878,40.05749893,70.07008717,42.76712475,43.90962549,41.62462401
2019/2/28,43.58000183,43.72750092,43.22999954,43.28749847,41.52257919,112861600,42.86587467,42.49876127,58.63950237,42.86587467,44.05346823,41.67828111,43.02690909,42.1298293,0.897079787,0.939278017,0.497501373,0.010002136,0.487499237,0.537143162,63.48990154,76.46533932,0.044998169,43.05721374,0.352655062,39.98116779,64.66556492,0.983588473,73.34362544,-36.51009846,56.19378607,0.497501373,0,0,26.09707993,15.39224399,25.80142293,42.32359361,42.86587467,-0.295001984,0.439446517,84.40842747,0.413097038,43.96749878,41.13999939,31.52314855,42.86587467,43.940161,41.79158835
2019/3/1,43.56999969,43.78749847,43.22249985,43.74250031,41.95903015,103544800,42.97249966,42.6172126,66.1931184,42.97249966,44.06440025,41.88059907,43.13700005,42.24928641,0.887713632,0.92896514,0.564998627,0.5,0.064998627,0.532500131,86.40491601,78.82399775,0.185001373,43.14070189,0.347512598,40.05147834,80.97903768,1.791845144,72.3982842,-13.59508399,64.04413581,0.564998627,0.059997559,0,27.12942438,9.087829609,49.81491633,42.88569724,42.97249966,0.025001526,0.472683747,97.48152965,0.426717654,43.96749878,41.48249817,59.35501778,42.97249966,44.03749992,41.9074994
2019/3/4,43.92250061,44.4375,43.49250031,43.96250153,42.1700592,109744800,43.08912468,42.74533536,72.96135325,43.08912468,44.06988122,42.10836814,43.26400027,42.37619124,0.887809037,0.92073392,0.944999695,0.694999695,0.25,0.564999989,77.2999402,75.73158592,0.380001068,43.23498779,0.342756773,40.13076434,124.0740482,2.02690784,83.82952678,-22.7000598,71.30085112,0.944999695,0.650001526,0,32.04803914,8.565080617,57.82111462,42.78629569,43.08912468,0.675003052,0.488690748,108.6168916,0.423836314,44.4375,41.81999969,69.53940038,43.08912468,44.21912466,41.9591247
2019/3/5,43.98500061,44,43.63499832,43.88249969,42.09332657,78949600,43.14262466,42.85363672,68.06847419,43.14262466,44.17521199,42.11003733,43.35915403,42.48776964,0.87138439,0.910864014,0.365001678,0.037498474,0.327503204,0.563035692,73.47667245,79.06050955,0.165000916,43.31054731,0.337376415,40.18404734,95.42775524,1.714951365,72.8722574,-26.52332755,64.83790296,0.365001678,0,0,32.15984707,8.594962131,57.82111462,42.32043115,43.14262466,0.13999939,0.507689223,102.626105,0.389345311,44.4375,42.10499954,61.20547352,43.14262466,44.26869605,42.01655328
2019/3/6,43.66749954,43.87250137,43.48500061,43.63000107,41.85111618,83241600,43.14687481,42.92757618,66.5144662,43.14687481,44.18710696,42.10664266,43.40082281,42.57237938,0.82844343,0.894379897,0.387500763,0.009998322,0.397499084,0.545714242,61.40982543,70.72881269,0.342502594,43.35696411,0.329929603,40.23595706,68.88682355,1.119724803,63.24766658,-38.59017457,65.08394491,0.397499084,0,0.149997711,28.33771058,10.83109478,44.69530189,40.79148686,43.14687481,-0.332500458,0.475585855,98.14780547,0.354547833,44.4375,42.10499954,41.68544085,43.14687481,44.23830329,42.05544633
2019/3/7,43.46749878,43.61000061,43.00500107,43.125,41.36671448,99185600,43.12512474,42.94637845,55.84592216,43.12512474,44.1470154,42.10323408,43.35838853,42.61331424,0.745074291,0.864518776,0.604999542,0.020000458,0.625,0.556785856,36.4406357,57.10904453,-0.617500305,43.3548808,0.318387978,40.28855697,15.74893365,-0.000289253,61.3995441,-63.5593643,57.70074611,0.625,0,0.479999542,27.77421892,15.04164846,29.73797155,38.76046003,43.12512474,-0.757499695,0.445924758,80.74900151,0.277315821,44.4375,42.10499954,-0.011294598,43.12512474,44.23869645,42.01155303
2019/3/8,42.58000183,43.26750183,42.375,43.22750092,41.46503448,95997600,43.14974976,42.97315202,58.54496099,43.14974976,44.15566842,42.14383109,43.33825197,42.65880955,0.679442426,0.827503506,0.892501831,0.142501831,0.75,0.585714613,41.40436372,46.41827495,-0.73500061,43.36463091,0.304482072,40.33292289,-23.77688023,0.180189132,61.73808508,-58.59563628,65.23411963,0.892501831,0,0.630001068,25.06096534,21.98166899,6.545756611,34.7443324,43.14974976,-0.402500153,0.394449258,81.63797744,0.279335253,44.4375,42.10499954,7.451948035,43.14974976,44.32117898,41.97832053
2019/3/11,43.87250137,44.77999878,43.83750153,44.72499847,42.90146637,128044000,43.25587463,43.13999454,69.87529661,43.25587463,44.44910741,42.06264186,43.55159759,42.81186058,0.73973701,0.809950206,0.942497253,1.552497864,0.61000061,0.661785943,97.71308386,58.51936109,0.842498779,43.5146546,0.296022397,40.4222005,148.6260343,3.396356802,62.78089468,-2.286916137,66.71041786,1.552497864,1.512496948,0,38.50508386,18.75335819,34.49574415,33.03502033,43.25587463,1.599998474,0.48740274,103.9327077,0.459022004,44.77999878,42.3125,149.8594386,43.25587463,44.57944652,41.93230275
2019/3/12,45,45.66749954,44.84249878,45.22750092,43.38348389,129870400,43.39937477,43.33880467,71.18319555,43.39937477,44.80847716,41.99027238,43.80942887,42.9907969,0.81863197,0.811686559,0.825000763,0.942501068,0.117500305,0.686428615,86.63633446,75.25126068,1.597499847,43.70242853,0.29328207,40.52607013,183.9992928,4.212332906,65.30145256,-13.36366554,67.48758795,0.942501068,0.887500763,0,41.46718567,18.08011578,39.27477705,32.62569305,43.39937477,2,0.640533015,116.7783824,0.665316856,45.66749954,42.34500122,198.9563671,43.39937477,44.772232,42.02651754
